Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Other,FamilySize,IsAlone,AgeBin_Teen,AgeBin_Adult,AgeBin_MidAge,AgeBin_Senior,FareBin
0,3,1,22.0,1,0,-0.8797405693934278,0,1,0,1,0,0,2,0,0,1,0,0,0
1,1,0,38.0,1,0,1.3612199269233833,0,0,0,0,1,0,2,0,0,0,1,0,3
1,3,0,26.0,0,0,-0.798539974052802,0,1,1,0,0,0,1,1,0,1,0,0,1
1,1,0,35.0,1,0,1.0620380556287106,0,1,0,0,1,0,2,0,0,1,0,0,3
0,3,1,35.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,26.0,0,0,-0.7386163019798164,1,0,0,1,0,0,1,1,0,1,0,0,1
0,1,1,54.0,0,0,1.038145562232327,0,1,0,1,0,0,1,1,0,0,1,0,3
0,3,1,2.0,3,1,0.1364991380659541,0,1,0,0,0,0,5,0,0,0,0,0,2
1,3,0,27.0,0,2,-0.48145578049281335,0,1,0,0,1,0,3,0,0,1,0,0,1
1,2,0,14.0,1,0,0.4894379098126231,0,0,0,0,1,0,2,0,1,0,0,0,2
1,3,0,4.0,1,1,-0.09156500424402261,0,1,1,0,0,0,3,0,0,0,0,0,2
1,1,0,58.0,0,0,0.36526093570402607,0,1,1,0,0,0,1,1,0,0,1,0,2
0,3,1,20.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,39.0,1,5,0.5286989276421437,0,1,0,1,0,0,7,0,0,0,1,0,3
0,3,0,14.0,0,0,-0.806763380796033,0,1,1,0,0,0,1,1,1,0,0,0,0
1,2,0,55.0,0,0,-0.13322852057373055,0,1,0,0,1,0,1,1,0,0,1,0,2
0,3,1,2.0,4,1,0.457519539438721,1,0,0,0,0,0,6,0,0,0,0,0,2
1,2,1,31.0,0,0,-0.3336984726090336,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,0,31.0,1,0,-0.01838583697289204,0,1,0,0,1,0,2,0,0,1,0,0,2
1,3,0,31.0,0,0,-0.8828741679067217,0,0,0,0,1,0,1,1,0,1,0,0,0
0,2,1,35.0,0,0,0.3444394801955362,0,1,0,1,0,0,1,1,0,1,0,0,2
1,2,1,34.0,0,0,-0.3336984726090336,0,1,0,1,0,0,1,1,0,1,0,0,1
1,3,0,15.0,0,0,-0.7865550587251358,1,0,1,0,0,0,1,1,1,0,0,0,1
1,1,1,28.0,0,0,0.6557188297748954,0,1,0,1,0,0,1,1,0,1,0,0,3
0,3,0,8.0,3,1,0.1364991380659541,0,1,1,0,0,0,5,0,0,0,0,0,2
1,3,0,38.0,1,5,0.5322916934007406,0,1,0,0,1,0,7,0,0,0,1,0,3
0,3,1,26.0,0,0,-0.8828741679067217,0,0,0,1,0,0,1,1,0,1,0,0,0
0,1,1,19.0,3,2,2.6987007794454887,0,1,0,1,0,0,6,0,0,1,0,0,3
1,3,0,18.0,0,0,-0.8038521494426432,1,0,1,0,0,0,1,1,1,0,0,0,0
0,3,1,26.0,0,0,-0.8019236166026618,0,1,0,1,0,0,1,1,0,1,0,0,0
0,1,1,40.0,0,0,0.4082334475616762,0,0,0,0,0,1,1,1,0,0,1,0,2
1,1,0,40.0,1,0,2.097794920021772,0,0,0,0,1,0,2,0,0,0,1,0,3
1,3,0,18.0,0,0,-0.8189865811572414,1,0,1,0,0,0,1,1,1,0,0,0,0
0,2,1,66.0,0,0,-0.5368057694182641,0,1,0,1,0,0,1,1,0,0,0,1,1
0,1,1,28.0,1,0,1.5060857797883969,0,0,0,1,0,0,2,0,0,1,0,0,3
0,1,1,42.0,1,0,1.0408277503255374,0,1,0,1,0,0,2,0,0,0,1,0,3
1,3,1,26.0,0,0,-0.8823470582632056,0,0,0,1,0,0,1,1,0,1,0,0,0
0,3,1,21.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,0,18.0,2,0,-0.01838583697289204,0,1,1,0,0,0,3,0,1,0,0,0,2
1,3,0,14.0,1,0,-0.47227211715402734,0,0,1,0,0,0,2,0,1,0,0,0,1
0,3,0,40.0,1,0,-0.6331972544104215,0,1,0,0,1,0,2,0,0,0,1,0,1
0,2,0,27.0,1,0,0.1329851701219792,0,1,0,0,1,0,2,0,0,1,0,0,2
0,3,1,26.0,0,0,-0.8019236166026618,0,0,0,1,0,0,1,1,0,1,0,0,0
1,2,0,3.0,1,2,0.8147822510349934,0,0,1,0,0,0,4,0,0,0,0,0,3
1,3,0,19.0,0,0,-0.8038521494426432,1,0,1,0,0,0,1,1,0,1,0,0,0
0,3,1,26.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,26.0,1,0,-0.16405229962564447,1,0,0,1,0,0,2,0,0,1,0,0,2
1,3,0,18.0,0,0,-0.8189865811572414,1,0,1,0,0,0,1,1,1,0,0,0,0
0,3,1,26.0,2,0,0.16437971416667366,0,0,0,1,0,0,3,0,0,1,0,0,2
0,3,0,18.0,1,0,-0.029312075627065143,0,1,0,0,1,0,2,0,1,0,0,0,2
0,3,1,7.0,4,1,0.7678594338107121,0,1,0,0,0,0,6,0,0,0,0,0,3
0,3,1,21.0,0,0,-0.8131032608653792,0,1,0,1,0,0,1,1,0,1,0,0,0
1,1,0,49.0,1,0,1.4362199751817062,0,0,0,0,1,0,2,0,0,0,1,0,3
1,2,0,29.0,1,0,0.3444394801955362,0,1,0,0,1,0,2,0,0,1,0,0,2
0,1,1,65.0,0,1,1.2189504454470093,0,0,0,1,0,0,2,0,0,0,0,1,3
1,1,1,40.0,0,0,0.6557188297748954,0,1,0,1,0,0,1,1,0,0,1,0,3
1,2,0,21.0,0,0,-0.5368057694182641,0,1,1,0,0,0,1,1,0,1,0,0,1
0,3,1,28.5,0,0,-0.8823470582632056,0,0,0,1,0,0,1,1,0,1,0,0,0
1,2,0,5.0,1,2,0.40928266156909443,0,1,1,0,0,0,4,0,0,0,0,0,2
0,3,1,11.0,5,2,0.936361092700485,0,1,0,0,0,0,8,0,0,0,0,0,3
0,3,1,22.0,0,0,-0.8823470582632056,0,0,0,1,0,0,1,1,0,1,0,0,0
1,1,0,38.0,0,0,1.4787785499834798,0,1,1,0,0,0,1,1,0,0,1,0,3
0,1,1,45.0,1,0,1.5221510751129648,0,1,0,1,0,0,2,0,0,0,1,0,3
0,3,1,4.0,3,2,0.4146557174979072,0,1,0,0,0,0,6,0,0,0,0,0,2
0,1,1,40.0,0,0,0.4082334475616762,0,0,0,1,0,0,1,1,0,0,1,0,2
1,3,1,4.0,1,1,-0.1800831698720664,0,0,0,0,0,0,3,0,0,0,0,0,2
1,2,0,29.0,0,0,-0.5368057694182641,0,1,0,0,1,0,1,1,0,1,0,0,1
0,3,1,19.0,0,0,-0.7718965778779472,0,1,0,1,0,0,1,1,0,1,0,0,1
1,3,0,17.0,4,2,-0.798539974052802,0,1,1,0,0,0,7,0,1,0,0,0,1
0,3,1,26.0,2,0,-0.7165619336211217,0,1,0,1,0,0,3,0,0,1,0,0,1
0,2,1,32.0,0,0,-0.5368057694182641,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,0,16.0,5,2,0.936361092700485,0,1,1,0,0,0,8,0,1,0,0,0,3
0,2,1,21.0,0,0,1.3924082286355355,0,1,0,1,0,0,1,1,0,1,0,0,3
0,3,1,26.0,1,0,-0.23166125968823223,0,0,0,1,0,0,2,0,0,1,0,0,1
1,3,1,32.0,0,0,1.1248955097361604,0,1,0,1,0,0,1,1,0,1,0,0,3
0,3,1,25.0,0,0,-0.830854756854953,0,1,0,1,0,0,1,1,0,1,0,0,0
0,3,1,26.0,0,0,-0.8019236166026618,0,1,0,1,0,0,1,1,0,1,0,0,0
0,3,1,26.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
1,2,1,0.83,0,2,0.4532263111425748,0,1,0,0,0,0,3,0,0,0,0,0,2
1,3,0,30.0,0,0,-0.37316263612134226,0,1,1,0,0,0,1,1,0,1,0,0,1
0,3,1,22.0,0,0,-0.6811127586453682,0,1,0,1,0,0,1,1,0,1,0,0,1
1,3,1,29.0,0,0,-0.6307359423566569,0,1,0,1,0,0,1,1,0,1,0,0,1
1,3,0,18.0,0,0,-0.8145709511162281,1,0,1,0,0,0,1,1,1,0,0,0,0
0,1,1,28.0,0,0,0.940663265248102,0,1,0,1,0,0,1,1,0,1,0,0,3
1,2,0,17.0,0,0,-0.5368057694182641,0,1,1,0,0,0,1,1,1,0,0,0,1
1,3,0,33.0,3,0,-0.1423794216910609,0,1,0,0,1,0,4,0,0,1,0,0,2
0,3,1,16.0,1,3,0.6233938271906204,0,1,0,1,0,0,5,0,1,0,0,0,3
0,3,1,26.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
1,1,0,23.0,3,2,2.6987007794454887,0,1,1,0,0,0,6,0,0,1,0,0,3
0,3,1,24.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,29.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,20.0,0,0,-0.806763380796033,0,1,0,1,0,0,1,1,0,1,0,0,0
0,1,1,46.0,1,0,1.2056809915054134,0,1,0,1,0,0,2,0,0,0,1,0,3
0,3,1,26.0,1,2,0.11284358066326507,0,1,0,1,0,0,4,0,0,1,0,0,2
0,3,1,59.0,0,0,-0.8797405693934278,0,1,0,1,0,0,1,1,0,0,1,0,0
0,3,1,26.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,1,71.0,0,0,0.6315110816648204,0,0,0,1,0,0,1,1,0,0,0,1,3
1,1,1,23.0,0,1,1.241316266924983,0,0,0,1,0,0,2,0,0,1,0,0,3
1,2,0,34.0,0,1,0.2228261499229997,0,1,0,0,1,0,2,0,0,1,0,0,2
0,2,1,34.0,1,0,0.3444394801955362,0,1,0,1,0,0,2,0,0,1,0,0,2
0,3,0,28.0,0,0,-0.8019236166026618,0,1,1,0,0,0,1,1,0,1,0,0,0
0,3,1,26.0,0,0,-0.8019236166026618,0,1,0,1,0,0,1,1,0,1,0,0,0
0,1,1,21.0,0,1,1.443609675522841,0,1,0,1,0,0,2,0,0,1,0,0,3
0,3,1,33.0,0,0,-0.7174492400289059,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,37.0,2,0,-0.798539974052802,0,1,0,1,0,0,3,0,0,0,1,0,1
0,3,1,28.0,0,0,-0.8019236166026618,0,1,0,1,0,0,1,1,0,1,0,0,0
1,3,0,21.0,0,0,-0.830854756854953,0,1,1,0,0,0,1,1,0,1,0,0,0
1,3,1,26.0,0,0,-0.8160407306065733,0,1,0,1,0,0,1,1,0,1,0,0,0
0,3,1,38.0,0,0,-0.8019236166026618,0,1,0,1,0,0,1,1,0,0,1,0,0
1,3,0,18.0,1,0,0.2711522804976662,1,0,1,0,0,0,2,0,1,0,0,0,2
0,1,1,47.0,0,0,1.0408277503255374,0,1,0,1,0,0,1,1,0,0,1,0,3
0,3,0,14.5,1,0,-0.23166125968823223,0,0,1,0,0,0,2,0,1,0,0,0,1
0,3,1,22.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,0,20.0,1,0,-0.5992616204389827,0,1,1,0,0,0,2,0,0,1,0,0,1
0,3,0,17.0,0,0,-0.23138736843472296,0,0,1,0,0,0,1,1,1,0,0,0,2
0,3,1,21.0,0,0,-0.798539974052802,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,70.5,0,0,-0.8189865811572414,1,0,0,1,0,0,1,1,0,0,0,1,0
0,2,1,29.0,1,0,0.1329851701219792,0,1,0,1,0,0,2,0,0,1,0,0,2
0,1,1,24.0,0,1,2.6363132839087284,0,0,0,1,0,0,2,0,0,1,0,0,3
0,3,0,2.0,4,2,0.5286989276421437,0,1,1,0,0,0,7,0,0,0,0,0,3
0,2,1,21.0,2,0,1.3924082286355355,0,1,0,1,0,0,3,0,0,1,0,0,3
0,3,1,26.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,2,1,32.5,1,0,0.4894379098126231,0,0,0,1,0,0,2,0,0,1,0,0,2
1,2,0,32.5,0,0,-0.3336984726090336,0,1,1,0,0,0,1,1,0,1,0,0,1
0,1,1,54.0,0,1,1.443609675522841,0,1,0,1,0,0,2,0,0,0,1,0,3
1,3,1,12.0,1,0,-0.47227211715402734,0,0,0,0,0,0,2,0,0,0,0,0,1
0,3,1,26.0,0,0,-0.8189865811572414,1,0,0,1,0,0,1,1,0,1,0,0,0
1,3,1,24.0,0,0,-0.8933844909173265,0,1,0,1,0,0,1,1,0,1,0,0,0
1,3,0,18.0,1,1,0.19484336402527688,0,0,1,0,0,0,3,0,1,0,0,0,2
0,3,1,45.0,0,0,-0.9147445967366699,0,1,0,1,0,0,1,1,0,0,1,0,0
0,3,1,33.0,0,0,-0.8019236166026618,0,0,0,1,0,0,1,1,0,1,0,0,0
0,3,1,20.0,0,0,-0.9050797531497118,0,1,0,1,0,0,1,1,0,1,0,0,0
0,3,0,47.0,1,0,-0.2286058134653583,0,1,0,0,1,0,2,0,0,0,1,0,2
1,2,0,29.0,1,0,0.3444394801955362,0,1,0,0,1,0,2,0,0,1,0,0,2
0,2,1,25.0,0,0,-0.3336984726090336,0,1,0,1,0,0,1,1,0,1,0,0,1
0,2,1,23.0,0,0,-0.19287328396337328,0,0,0,1,0,0,1,1,0,1,0,0,2
1,1,0,19.0,0,2,0.3552168481314282,0,1,1,0,0,0,3,0,0,1,0,0,2
0,1,1,37.0,1,0,1.0620380556287106,0,1,0,1,0,0,2,0,0,0,1,0,3
0,3,1,16.0,0,0,-0.6589770356240848,0,1,0,1,0,0,1,1,1,0,0,0,1
0,1,1,24.0,0,0,1.4685301291949246,0,0,0,1,0,0,1,1,0,1,0,0,3
0,3,0,31.0,0,2,-0.1800831698720664,0,0,0,0,1,0,3,0,0,1,0,0,2
1,3,0,22.0,0,0,-0.8189865811572414,0,1,1,0,0,0,1,1,0,1,0,0,0
1,3,0,24.0,1,0,-0.1423794216910609,0,1,0,0,1,0,2,0,0,1,0,0,2
0,3,1,19.0,0,0,-0.9442940832331417,1,0,0,1,0,0,1,1,0,1,0,0,0
0,2,1,18.0,0,0,-0.4507125974257932,0,1,0,1,0,0,1,1,1,0,0,0,1
0,2,1,19.0,1,1,0.6904870950626278,0,1,0,1,0,0,3,0,0,1,0,0,3
1,3,1,27.0,0,0,-0.8135961720983267,0,1,0,1,0,0,1,1,0,1,0,0,0
0,3,0,9.0,2,2,0.6233938271906204,0,1,1,0,0,0,5,0,0,0,0,0,3
0,2,1,36.5,0,2,0.3444394801955362,0,1,0,1,0,0,3,0,0,0,1,0,2
0,2,1,42.0,0,0,-0.3336984726090336,0,1,0,0,0,1,1,1,0,0,1,0,1
0,2,1,51.0,0,0,-0.3693384839068557,0,1,0,0,0,1,1,1,0,0,1,0,1
1,1,0,22.0,1,0,1.2920564383571118,0,1,0,0,1,0,2,0,0,1,0,0,3
0,3,1,55.5,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,0,1,0,1
0,3,1,40.5,0,2,-0.2286058134653583,0,1,0,1,0,0,3,0,0,0,1,0,2
0,3,1,26.0,0,0,-0.8719479292525482,0,1,0,1,0,0,1,1,0,1,0,0,0
0,1,1,51.0,0,1,1.2090665177433995,0,0,0,1,0,0,2,0,0,0,1,0,3
1,3,0,16.0,0,0,-0.8209591021193487,1,0,1,0,0,0,1,1,1,0,0,0,0
0,3,1,30.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,26.0,0,0,-0.7165619336211217,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,4.0,8,2,1.3361591794576348,0,1,0,0,0,0,11,0,0,0,0,0,3
0,3,1,44.0,0,1,-0.12717266791993012,0,1,0,1,0,0,2,0,0,0,1,0,2
1,2,0,40.0,0,0,-0.1485253917280838,0,1,0,0,1,0,1,1,0,0,1,0,2
0,3,1,26.0,0,0,-0.8160407306065733,0,1,0,1,0,0,1,1,0,1,0,0,0
0,3,1,17.0,0,0,-0.7165619336211217,0,1,0,1,0,0,1,1,1,0,0,0,1
0,3,1,1.0,4,1,0.7678594338107121,0,1,0,0,0,0,6,0,0,0,0,0,3
1,3,1,9.0,0,2,0.11044794172866994,0,1,0,0,0,0,3,0,0,0,0,0,2
1,1,0,40.0,0,1,1.0976780669265336,0,1,0,0,1,0,2,0,0,0,1,0,3
0,3,0,45.0,1,4,0.4146557174979072,0,1,0,0,1,0,6,0,0,0,1,0,2
0,1,1,40.0,0,0,0.34156737843370105,0,1,0,1,0,0,1,1,0,0,1,0,2
0,3,1,28.0,0,0,1.1248955097361604,0,1,0,1,0,0,1,1,0,1,0,0,3
0,1,1,61.0,0,0,0.5975333003696796,0,1,0,1,0,0,1,1,0,0,0,1,3
0,3,1,4.0,4,1,0.457519539438721,1,0,0,0,0,0,6,0,0,0,0,0,2
1,3,0,1.0,1,1,-0.48145578049281335,0,1,1,0,0,0,3,0,0,0,0,0,1
0,3,1,21.0,0,0,-0.798539974052802,0,1,0,1,0,0,1,1,0,1,0,0,1
0,1,1,56.0,0,0,0.5100012756239033,0,0,0,1,0,0,1,1,0,0,1,0,2
0,3,1,18.0,1,1,-0.806763380796033,0,1,0,1,0,0,3,0,1,0,0,0,0
0,3,1,4.0,3,1,0.32384119624754826,0,1,0,0,0,0,5,0,0,0,0,0,2
0,1,0,50.0,0,0,0.4432836100273541,0,0,1,0,0,0,1,1,0,0,1,0,2
0,2,1,30.0,0,0,-0.3336984726090336,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,36.0,0,0,-3.0585777291682934,0,1,0,1,0,0,1,1,0,0,1,0,0
0,3,0,18.0,8,2,1.3361591794576348,0,1,1,0,0,0,11,0,1,0,0,0,3
0,2,1,31.0,0,0,-0.19260305647698941,0,0,0,1,0,0,1,1,0,1,0,0,2
0,3,1,9.0,4,2,0.5322916934007406,0,1,0,0,0,0,7,0,0,0,0,0,3
1,2,1,1.0,2,1,0.750263780890198,0,1,0,0,0,0,4,0,0,0,0,0,3
1,3,0,4.0,0,2,0.1800041951014629,0,1,1,0,0,0,3,0,0,0,0,0,2
0,1,1,40.0,0,0,1.0011105492142125,0,1,0,1,0,0,1,1,0,0,1,0,3
1,3,0,31.0,1,0,-0.16405229962564447,1,0,0,0,1,0,2,0,0,1,0,0,2
1,1,1,45.0,0,0,0.36526093570402607,0,1,0,1,0,0,1,1,0,0,1,0,2
0,3,1,40.0,1,1,-0.16405229962564447,1,0,0,1,0,0,3,0,0,0,1,0,2
0,3,1,36.0,0,0,-0.8019236166026618,0,1,0,1,0,0,1,1,0,0,1,0,0
1,2,0,32.0,0,0,-0.3336984726090336,0,1,0,0,1,0,1,1,0,1,0,0,1
0,2,1,19.0,0,0,-0.3336984726090336,0,1,0,1,0,0,1,1,0,1,0,0,1
1,3,0,19.0,1,0,-0.806763380796033,0,1,1,0,0,0,2,0,0,1,0,0,0
1,2,1,3.0,1,1,0.3444394801955362,0,1,0,0,0,0,3,0,0,0,0,0,2
1,1,0,44.0,0,0,0.4082334475616762,0,0,0,0,1,0,1,1,0,0,1,0,2
1,1,0,58.0,0,0,2.097794920021772,0,0,1,0,0,0,1,1,0,0,1,0,3
0,3,1,26.0,0,0,-0.8189865811572414,1,0,0,1,0,0,1,1,0,1,0,0,0
0,3,1,42.0,0,1,-0.7445391097425897,0,1,0,1,0,0,2,0,0,0,1,0,1
1,3,0,18.0,0,0,-0.8189865811572414,1,0,1,0,0,0,1,1,1,0,0,0,0
0,2,0,24.0,0,0,-0.3336984726090336,0,1,1,0,0,0,1,1,0,1,0,0,1
0,3,1,28.0,0,0,-0.6307359423566569,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,26.0,8,2,1.3361591794576348,0,1,0,1,0,0,11,0,0,1,0,0,3
0,3,1,34.0,0,0,-0.9787286015064478,0,1,0,1,0,0,1,1,0,1,0,0,0
0,3,1,45.5,0,0,-0.8828741679067217,0,0,0,1,0,0,1,1,0,0,1,0,0
1,3,1,18.0,0,0,-0.7841792430073967,0,1,0,1,0,0,1,1,1,0,0,0,1
0,3,0,2.0,0,1,-0.5401781836878246,0,1,1,0,0,0,2,0,0,0,0,0,1
0,3,1,32.0,1,0,-0.1423794216910609,0,1,0,1,0,0,2,0,0,1,0,0,2
1,3,1,26.0,0,0,0.023546289947323752,0,0,0,1,0,0,1,1,0,1,0,0,2
1,3,0,16.0,0,0,-0.8189865811572414,1,0,1,0,0,0,1,1,1,0,0,0,0
1,1,1,40.0,0,0,0.5198636196706229,0,0,0,1,0,0,1,1,0,0,1,0,2
0,3,1,24.0,0,0,-0.9050797531497118,0,1,0,1,0,0,1,1,0,1,0,0,0
1,2,0,35.0,0,0,0.1329851701219792,0,1,1,0,0,0,1,1,0,1,0,0,2
0,3,1,22.0,0,0,-0.8797405693934278,0,1,0,1,0,0,1,1,0,1,0,0,0
0,2,1,30.0,0,0,-0.3336984726090336,0,1,0,1,0,0,1,1,0,1,0,0,1
0,3,1,26.0,1,0,-0.8189865811572414,1,0,0,1,0,0,2,0,0,1,0,0,0
1,1,0,31.0,1,0,1.834129231109428,0,0,1,0,0,0,2,0,0,1,0,0,3
1,3,0,27.0,0,0,-0.798539974052802,0,1,1,0,0,0,1,1,0,1,0,0,1
0,2,1,42.0,1,0,0.3819897971587497,0,1,0,1,0,0,2,0,0,0,1,0,2
1,1,0,32.0,0,0,1.4303920040723752,0,0,1,0,0,0,1,1,0,1,0,0,3
0,2,1,30.0,0,0,-0.5368057694182641,0,1,0,1,0,0,1,1,0,1,0,0,1
